id,name,feature,lat,lon,nearest_node
0,横浜すみれが丘郵便局,post_office,35.5656004,139.5810522,2187246414
1,横浜センター北駅前郵便局,post_office,35.553232,139.5778401,10712492257
2,ヨークフーズ,supermarket,35.5648367,139.5843071,3803654352
3,マルエツ,supermarket,35.5638119,139.5701832,10732935709
4,AOKI,clothes,35.5611952,139.5801688,1303245512
5,江戸前びっくり寿司,restaurant,35.5560047,139.577823,9983573509
6,しゃぶしゃぶ 木曽路,restaurant,35.5569178,139.5788174,10721114732
7,かに料理 横浜甲羅本店,restaurant,35.5575546,139.5777957,1728170096
8,まいばすけっと,supermarket,35.5628043,139.5701188,2555365272
9,横浜キャンパス図書館,library,35.5617244,139.5752785,7368660671
10,学生食堂,restaurant,35.561503,139.5742961,2616953964
11,学生ホール,cafe,35.5613973,139.5745311,2616953964
12,都筑阪急,mall,35.5550704,139.5775365,8411280138
13,CAFE LEXCEL,cafe,35.5536904,139.5792721,10624985150
14,スターバックス,cafe,35.5545684,139.5781306,8411280183
15,本格焼肉 ふくひろ亭,restaurant,35.5621863,139.5726205,1303244922
16,季節料理 喜多川,restaurant,35.5630755,139.5700014,9933290458
17,ラーメン なかがわ亭,restaurant,35.5630536,139.5700376,9933290458
18,中華料理 博,restaurant,35.5635086,139.5693222,2555242407
19,Atelier KiD,clothes,35.5622048,139.5721578,1704650216
20,BAR DE ESPANA Zorro,restaurant,35.5641324,139.5698356,2587567965
21,リンガーハット,restaurant,35.5657488,139.5759926,6394962503
